mesa,datos,actas
1,True,5
2,True,5
3,True,5
4,True,5
5,True,5
6,True,5
7,True,5
8,True,5
9,True,5
10,True,5
11,True,5
12,True,5
13,True,5
14,True,5
15,True,5
16,True,5
17,True,5
18,True,5
19,True,5
20,True,5
21,True,5
22,True,5
23,True,5
24,True,5
25,True,5
26,True,5
27,True,5
28,True,5
29,True,5
30,True,5
31,True,5
32,True,5
33,True,5
34,True,5
35,True,5
36,True,5
37,True,5
38,True,5
39,True,5
40,True,5
41,True,5
42,True,5
43,True,5
44,True,5
45,True,5
46,True,5
47,True,5
48,True,5
49,True,5
50,True,5
51,True,5
52,True,5
53,True,5
54,True,5
55,True,5
56,True,5
57,True,5
58,True,5
59,True,5
60,True,5
61,True,5
62,True,5
63,True,5
64,True,5
65,True,5
66,True,5
67,True,5
68,True,5
69,True,5
70,True,5
71,True,5
72,True,5
73,True,5
74,True,5
75,True,5
76,True,5
77,True,5
78,True,5
79,True,5
80,True,5
81,True,5
82,True,5
83,True,5
84,True,5
85,True,5
86,True,5
87,True,5
88,True,5
89,True,5
90,True,5
91,True,5
92,True,5
93,True,5
94,True,5
95,True,5
96,True,5
97,True,5
98,True,5
99,True,5
100,True,5
101,True,5
102,True,5
103,True,5
104,True,5
105,True,5
106,True,5
107,True,5
108,True,5
109,True,5
110,True,5
111,True,5
112,True,5
113,True,5
114,True,5
115,True,5
116,True,5
117,True,5
118,True,5
119,True,5
120,True,5
121,True,5
122,True,5
123,True,5
124,True,5
125,True,5
126,True,5
127,True,5
128,True,5
129,True,5
130,True,5
131,True,5
132,True,5
133,True,5
134,True,5
135,True,5
136,True,5
137,True,5
138,True,5
139,True,5
140,True,5
141,True,5
142,True,5
143,True,5
144,True,5
145,True,5
146,True,5
147,True,5
148,True,5
149,True,5
150,True,5
151,True,5
152,True,5
153,True,5
154,True,5
155,True,5
156,True,5
157,True,5
158,True,5
159,True,5
160,True,5
161,True,5
162,True,5
163,True,5
164,True,5
165,True,5
166,True,5
167,True,5
168,True,5
169,True,5
170,True,5
171,True,5
172,True,5
173,True,5
174,True,5
175,True,5
176,True,5
177,True,5
178,True,5
179,True,5
180,True,5
181,True,5
182,True,5
